id_paciente,cns,nome,data_nascimento,sexo,idade,id_bairro,dum
1,761770505642500,Sarah Brito,1944-09-25,F,79,1,
2,721569956017947,Dr. Vicente Macedo,1953-01-16,M,70,1,
3,744020323090992,Luísa da Cruz,1949-09-04,F,74,8,
4,760123608620830,Enrico Fernandes,1950-12-30,M,73,3,
5,799723563052613,André Pires,1958-03-31,M,65,8,
6,718631578877132,Dra. Maria Cecília Peixoto,2024-09-20,F,-1,1,
7,761623736181486,Fernando Viana,1997-03-27,M,26,10,
8,784304840744652,Lucas Marques,2024-07-31,M,-1,6,
9,736601895844694,Nicolas Alves,1987-08-14,M,36,3,
10,794033376630688,Benjamin Cirino,1992-08-25,M,31,5,
11,742163191355566,Guilherme Silva,2023-10-27,M,0,9,
12,750835079143301,Dr. Bryan Jesus,1972-07-18,M,51,4,
13,720092676128414,Ana Beatriz Brito,1970-04-23,F,53,7,
14,786455190310916,Mariana Santos,2018-08-13,F,5,8,
15,780847834583694,Valentina Pereira,2006-04-19,F,17,5,
16,798531217387891,Olívia Pastor,1951-04-12,F,72,9,
17,765620395589210,Sra. Allana Monteiro,2009-09-30,F,14,9,
18,739299465531981,Juan Dias,1954-05-09,M,69,4,
19,757714501928547,Hadassa Borges,2021-09-01,F,2,10,
20,763809016156564,Dr. Dante Peixoto,2020-10-22,M,3,7,
21,734184833113389,Sra. Pietra Jesus,1978-08-14,F,45,10,
22,727252901689051,Ester Vasconcelos,1949-08-28,F,74,3,
23,757103934611265,Mariana Ribeiro,2005-07-19,F,18,10,
24,733958731622988,Theo Pires,2024-10-31,M,-1,6,
25,762656001416502,Hellena Nascimento,2007-12-26,F,16,9,2022-11-30
26,755142301357730,Srta. Elisa Cavalcante,2013-04-02,F,10,6,
27,752994955532746,Ayla Souza,2016-11-12,F,7,4,
28,771730188969041,Thiago Vasconcelos,1990-10-02,M,33,5,
29,737117113510248,Dr. Noah Nascimento,2020-02-23,M,3,6,
30,710771929647133,André da Mota,1967-07-19,M,56,5,
31,746481732088805,Julia da Costa,1986-03-02,F,37,7,
32,761461457316661,Sra. Mariana Castro,1971-11-01,F,52,2,
33,723726847448101,Bruna Carvalho,1989-09-09,F,34,5,
34,795622562197940,Olivia Cirino,1956-04-22,F,67,10,
35,780201608333465,Ana Liz Rios,2010-10-27,F,13,9,
36,798730748358167,Isis Jesus,2018-11-29,F,5,3,
37,784848026159132,Gael Henrique Teixeira,1980-06-06,M,43,7,
38,747993434430554,Melissa Câmara,1941-07-18,F,82,9,
39,783059567788211,Pietra Nogueira,1987-11-16,F,36,9,
40,767575845670282,João Guilherme Ferreira,1947-09-19,M,76,8,
41,783748072920011,Olívia Costela,1958-05-21,F,65,3,
42,788786491346103,Stella Nogueira,1971-03-04,F,52,8,
43,764455413338056,Renan Abreu,1971-01-27,M,52,7,
